Sales Representative,030-0074321
Owner,(5) 555-4729
Owner,(5) 555-3932
Sales Representative,(171) 555-7788
Order Administrator,0921-12 34 65
Sales Representative,0621-08460
Marketing Manager,France
Owner,Spain
Owner,France
Accounting Manager,(604) 555-4729
Sales Representative,(171) 555-1212
Sales Agent,(1) 135-5555
Marketing Manager,(5) 555-3392
Owner,0452-076545
Sales Associate,Brazil
Sales Representative,(171) 555-2282
Order Administrator,0241-039123
Owner,France
Sales Agent,(171) 555-0297
Sales Manager,7675-3425
Marketing Assistant,Brazil
Accounting Manager,Spain
Assistant Sales Agent,France
Owner,0695-34 67 21
Marketing Manager,089-0877310
Marketing Manager,France
Sales Representative,011-4988260
Sales Manager,(1) 354-2534
Marketing Manager,Spain
Sales Manager,Spain
Sales Associate,Brazil
Marketing Manager,(503) 555-7555
Owner,(2) 283-2951
Accounting Manager,Brazil
Sales Representative,(5) 555-1340
Sales Representative,(503) 555-6874
Sales Associate,2967 542
Marketing Manager,(198) 555-8888
Sales Associate,0555-09876
Sales Representative,France
Sales Manager,61.77.61.10
Marketing Assistant,(604) 555-3392
Marketing Manager,(509) 555-7969
Sales Representative,069-0245984
Owner,(415) 555-5938
Accounting Manager,(9) 331-6954
Owner,(8) 34-56-12
Sales Manager,(503) 555-9573
Marketing Manager,035-640230
Sales Agent,(02) 201 24 67
Marketing Assistant,(514) 555-8054
Marketing Assistant,0342-023176
Sales Associate,(171) 555-7733
Sales Agent,(1) 135-5333
Sales Representative,(907) 555-7584
Owner,0221-0644327
Owner,France
Sales Representative,(5) 552-3745
Sales Manager,6562-9722
Sales Representative,(1) 356-5634
Accounting Manager,Brazil
Marketing Assistant,Brazil
Accounting Manager,0372-035188
Sales Representative,(1) 123-5555
Assistant Sales Representative,(505) 555-5939
Sales Associate,0522-556721
Assistant Sales Agent,Brazil
Sales Manager,0897-034214
Accounting Manager,Spain
Owner,07-98 92 35
Sales Representative,(208) 555-8097
Sales Manager,(171) 555-1717
Owner,31 12 34 56
Marketing Manager,France
Sales Manager,(307) 555-4680
Accounting Manager,Belgium
Marketing Manager,(503) 555-3612
Marketing Assistant,(406) 555-5834
Marketing Manager,0251-031259
Owner,(5) 555-2933
Sales Representative,Brazil
Sales Associate,(206) 555-8257
Sales Manager,86 21 32 43
Sales Agent,France
Accounting Manager,26.47.15.10
Sales Representative,0711-020361
Accounting Manager,981-443655
Sales Manager,Brazil
Owner,(206) 555-4112
Owner/Marketing Assistant,90-224 8858
Owner,(26) 642-7012
